phi,theta,psi
-0.208227411315498,0.877084720970932,0.0768517452467261
-0.208227411134204,0.877129002105496,0.0770412348270193
-0.208227411009109,0.877170305962315,0.0772675878897382
-0.208227410934382,0.877207388786268,0.077525088639524
-0.208227410904191,0.877239006822235,0.0778080212810188
-0.208227410912704,0.877263916315095,0.0781106700188639
-0.208227410954091,0.877280873509729,0.0784273190577014
-0.20822741102252,0.877288634651016,0.0787522526021722
-0.208227411112159,0.877285955983835,0.0790797548569184
-0.208227411217178,0.877271593753066,0.0794041100265819
-0.208227411331744,0.877244304203589,0.079719602315804
-0.208227411450027,0.877202843580283,0.0800205159292264
-0.208227411566196,0.877145968128028,0.0803011350714908
-0.208227411674418,0.877072434091704,0.0805557439472393
-0.208227411768863,0.876981007117269,0.0807786267611124
-0.208227411845173,0.876872495833652,0.0809641960281096
-0.20822741190389,0.876752291814407,0.081110840743243
-0.208227411946579,0.876626410594209,0.0812215963296003
-0.208227411974802,0.87650086770773,0.0812997615293349
-0.208227411990121,0.876381678689648,0.0813486350846013
-0.208227411994098,0.876274859074634,0.0813715157375527
-0.208227411988296,0.876186424397365,0.0813717022303431
-0.208227411974278,0.876122390192513,0.0813524933051266
-0.208227411953605,0.876088771994755,0.0813171877040566
-0.208227411927841,0.876091585338763,0.0812690841692876
-0.208227411898549,0.876136845759214,0.081211481442973
-0.20822741186729,0.87623056879078,0.0811476782672669
-0.208227411835626,0.876378769968136,0.0810809733843225
-0.208227411805121,0.876587464825958,0.0810146655362947
-0.208227411777337,0.876862668898918,0.080952053465337
-0.208227411753809,0.877209897101426,0.0808964359136022
-0.208227411735196,0.877626443283289,0.0808507283553652
-0.208227411721138,0.878102877072612,0.0808151821771101
-0.208227411711217,0.87862957064174,0.0807889176020666
-0.208227411705013,0.879196896163019,0.0807710507349393
-0.208227411702108,0.879795225808792,0.0807606976804316
-0.208227411702083,0.880414931751405,0.0807569745432477
-0.208227411704521,0.881046386163201,0.0807589974280913
-0.208227411709001,0.881679961216525,0.0807658824396662
-0.208227411715107,0.882306029083722,0.0807767456826769
-0.208227411722417,0.882914961937137,0.080790703261826
-0.208227411730516,0.883497131949114,0.0808068712818186
-0.208227411738983,0.884042911291997,0.0808243658473577
-0.208227411747399,0.884542672138132,0.080842303063148
-0.208227411755348,0.884986786659862,0.0808597990338926
-0.208227411762409,0.885365627029532,0.0808759698642958
-0.208227411768213,0.885671856108046,0.0808899331104584
-0.208227411772727,0.885908601618799,0.080901121736904
-0.208227411776064,0.886081977998686,0.0809096762516632
-0.208227411778335,0.88619809991181,0.0809158334937665
-0.208227411779652,0.886263082022275,0.0809198303022445
-0.208227411780128,0.886283038994183,0.0809219035161284
-0.208227411779874,0.88626408549164,0.0809222899744486
-0.208227411779002,0.886212336178747,0.0809212265162356
-0.208227411777625,0.886133905719609,0.0809189499805198
-0.208227411775853,0.886034908778329,0.0809156972063327
-0.208227411773801,0.885921460019011,0.0809117050327039
-0.208227411771578,0.885799674105758,0.0809072102986656
-0.208227411769299,0.885675665702675,0.0809024498432473
-0.208227411767073,0.885555549473863,0.0808976605054796
-0.208227411765014,0.885445440083427,0.0808930791243938
-0.208227411763233,0.885351403776125,0.0808889425390207
-0.208227411761802,0.885276628030546,0.0808854779781676
-0.208227411760704,0.885219853348767,0.080882754853898
-0.208227411759911,0.885179439457951,0.0808807134958702
-0.208227411759391,0.885153746085262,0.0808792904432583
-0.208227411759115,0.885141132957862,0.0808784222352352
-0.208227411759055,0.885139959802915,0.0808780454109748
-0.208227411759182,0.885148586347584,0.08087809650965
-0.208227411759464,0.885165372319032,0.0808785120704345
-0.208227411759873,0.885188677444423,0.0808792286325015
-0.20822741176038,0.885216861450919,0.080880182735025
-0.208227411760955,0.885248284065683,0.0808813109171773
-0.208227411761569,0.88528130501588,0.0808825497181329
-0.208227411762191,0.885314284028672,0.0808838356770649
-0.208227411762794,0.885345580831223,0.0808851053331467
-0.208227411763346,0.885373555150695,0.0808862952255511
-0.208227411763821,0.885396693012699,0.0808873418934526
-0.208227411764208,0.885414724783547,0.0808881935844938
-0.208227411764513,0.885428088707463,0.0808888520357045
-0.20822741176474,0.885437231211691,0.0808893342501995
-0.208227411764897,0.885442598723476,0.0808896572322542
-0.208227411764988,0.88544463767006,0.0808898379861438
-0.20822741176502,0.885443794478687,0.0808898935161451
-0.208227411764998,0.885440515576602,0.0808898408265326
-0.208227411764927,0.885435247391047,0.0808896969215827
-0.208227411764815,0.885428436349267,0.0808894788055707
-0.208227411764665,0.885420528878504,0.0808892034827722
-0.208227411764485,0.885411971406004,0.080888887957463
-0.20822741176428,0.885403210359009,0.0808885492339184
-0.208227411764054,0.885394692164763,0.080888204316415
-0.208227411763816,0.885386863250509,0.0808878702092277
-0.208227411763569,0.885380169965939,0.080887563916632
-0.20822741176332,0.885374930415686,0.080887302308287
-0.208227411763076,0.885371072937831,0.0808870942502025
-0.208227411762841,0.885368452096235,0.0808869362447466
-0.208227411762625,0.885366922454761,0.0808868237356435
-0.208227411762432,0.885366338577271,0.0808867521666163
-0.208227411762269,0.885366555027628,0.0808867169813898
-0.208227411762143,0.885367426369692,0.0808867136236884
-0.20822741176206,0.885368807167326,0.0808867375372351
-0.208227411762027,0.885370551984393,0.0808867841657541
-0.20822741176205,0.885372515384755,0.0808868489529693
-0.208227411762137,0.885374551932273,0.0808869273426054
-0.208227411762292,0.88537651619081,0.0808870147783856
-0.208227411762523,0.885378262724227,0.0808871067040335
-0.208227411762836,0.885379646096387,0.0808871985632742
-0.208227411763238,0.885380520871153,0.0808872857998311
-0.208227411763735,0.885380746505948,0.0808873638574277
-0.208227411764319,0.885380311866797,0.0808874285294512
-0.208227411764961,0.885379345349595,0.0808874790542877
-0.208227411765628,0.885377982271649,0.0808875166301119
-0.208227411766289,0.885376357950268,0.0808875424777522
-0.208227411766912,0.885374607702758,0.0808875578180364
-0.208227411767465,0.885372866846429,0.0808875638717936
-0.208227411767917,0.885371270698588,0.0808875618598519
-0.208227411768235,0.885369954576542,0.0808875530030404
-0.208227411768388,0.885369053797599,0.080887538522187
-0.208227411768344,0.885368703679069,0.0808875196381202
-0.208227411768071,0.885369039538257,0.0808874975716689
-0.208227411767539,0.885370196692473,0.0808874735436607
-0.208227411766713,0.885372310459024,0.0808874487749247
-0.208227411765564,0.885375516155218,0.08088742448629
-0.208227411764059,0.885379949098363,0.0808874018985837
-0.208227411762176,0.885385690242979,0.0808873822324323
-0.208227411759983,0.885392477499851,0.0808873663730696
-0.2082274117576,0.885399915334743,0.0808873541863948
-0.208227411755148,0.88540760791456,0.08088734534537
-0.208227411752746,0.885415159406208,0.0808873395229581
-0.208227411750517,0.885422173976595,0.0808873363921205
-0.208227411748579,0.885428255792625,0.0808873356258191
-0.208227411747054,0.885433009021207,0.0808873368970167
-0.208227411746063,0.885436037829246,0.0808873398786751
-0.208227411745726,0.885436946383648,0.0808873442437563
-0.208227411746163,0.88543533885132,0.0808873496652232
-0.208227411747494,0.885430819399168,0.0808873558160368
-0.208227411749842,0.885422992194099,0.0808873623691602
-0.208227411753326,0.885411461403018,0.0808873689975542
-0.208227411758066,0.885395831192834,0.0808873753741828
-0.208227411764184,0.885375709412779,0.0808873811720066
-0.208227411771675,0.885351259414184,0.0808873860712112
-0.208227411780161,0.885323788276294,0.0808873899429727
-0.208227411789191,0.885294744014174,0.0808873928643998
-0.208227411798315,0.885265574642892,0.0808873949228148
-0.208227411807082,0.885237728177514,0.080887396205541
-0.208227411815043,0.885212652633107,0.0808873967999018
-0.208227411821745,0.885191796024738,0.0808873967932198
-0.208227411826738,0.885176606367472,0.0808873962728176
-0.208227411829574,0.885168531676378,0.0808873953260192
-0.208227411829801,0.885169019966521,0.0808873940401467
-0.208227411826967,0.885179519252967,0.0808873925025231
-0.208227411820624,0.885201477550784,0.0808873908004726
-0.208227411810321,0.885236342875038,0.0808873890213164
-0.208227411795606,0.885285563240796,0.0808873872523788
-0.20822741177603,0.885350586663125,0.0808873855809829
-0.208227411751179,0.885432605184639,0.0808873840944511
-0.208227411721623,0.885529094820231,0.080887382868891
-0.20822741168899,0.885634728224503,0.0808873819096407
-0.208227411654962,0.885744109170282,0.0808873811945074
-0.20822741162122,0.885851841430395,0.0808873807012374
-0.208227411589444,0.88595252877767,0.0808873804075758
-0.208227411561318,0.886040774984934,0.0808873802912691
-0.208227411538522,0.886111183825014,0.0808873803300625
-0.208227411522736,0.886158359070736,0.0808873805017023
-0.208227411515643,0.88617690449493,0.0808873807839345
-0.208227411518924,0.88616142387042,0.080887381154505
-0.208227411534259,0.886106520970035,0.0808873815911586
-0.208227411563331,0.886006799566602,0.0808873820716427
-0.20822741160782,0.885856863432948,0.0808873825737024
-0.208227411669409,0.8856513163419,0.0808873830750827
-0.208227411749778,0.885384762066285,0.0808873835535309
-0.208227411849794,0.88505377941825,0.08088738398684
-0.208227411965186,0.884663173359837,0.0808873843600188
-0.208227412089683,0.884219890223714,0.0808873846729299
-0.208227412217011,0.883730876347585,0.0808873849272678
-0.208227412340896,0.883203078069151,0.0808873851247247
-0.208227412455061,0.882643441726117,0.0808873852669951
-0.208227412553234,0.882058913656184,0.0808873853557728
-0.208227412629138,0.881456440197056,0.0808873853927505
-0.208227412676499,0.880842967686434,0.0808873853796226
-0.208227412689043,0.880225442462024,0.0808873853180825
